period,fill,run,quality,comment,IR (kHz),mu,/
LHC22a,7652,517035,,,,,/
LHC22a,7652,517037,,,,,/
LHC22a,7652,517039,,,,,/
LHC22a,7652,517040,,,,,/
LHC22a,7652,517041,,,,,/
LHC22a,7652,517043,,,,,/
LHC22a,7652,517044,,,,,/
LHC22a,7663,517120,,,,,/
LHC22a,7663,517121,,,,,/
LHC22a,7663,517124,,,,,/
LHC22a,7663,517132,,,,,/
LHC22a,7663,517136,,,,,/
LHC22a,7663,517140,,,,,/
LHC22a,7663,517141,,,,,/
LHC22a,7663,517142,,,,,/
LHC22a,7663,517143,,,,,/
LHC22a,7663,517144,,,,,/
LHC22a,7670,517205,,,,,/
LHC22a,7670,517214,,,,,/
LHC22a,7670,517216,,,,,/
LHC22a,7670,517218,,,,,/
LHC22a,7670,517219,,,,,/
LHC22a,7670,517220,,,,,/
LHC22a,7670,517222,,,,,/
LHC22a,7670,517224,,,,,/
LHC22c,7692,517616,,,,,/
LHC22c,7692,517618,,,,,/
LHC22c,7692,517619,,,,,/
LHC22c,7692,517620,,,,,/
LHC22c,7692,517622,,,,,/
LHC22c,7692,517623,,,,,/
LHC22c,7694,517676,,,,,/
LHC22c,7694,517677,,,,,/
LHC22c,7694,517678,,,,,/
LHC22c,7694,517679,,,,,/
LHC22c,7696,517684,,,,,/
LHC22c,7696,517685,,,,,/
LHC22c,7697,517689,,,,,/
LHC22c,7697,517690,,,,,/
LHC22c,7697,517692,,,,,/
LHC22c,7697,517693,,,,,/
LHC22c,7702,517735,,,,,/
LHC22c,7702,517736,,,,,/
LHC22c,7702,517737,,,,,/
LHC22c,7702,517748,,,,,/
LHC22c,7702,517750,,,,,/
LHC22c,7702,517751,,,,,/
LHC22c,7702,517753,,,,,/
LHC22c,7702,517758,,,,,/
LHC22c,7703,517767,,,,,/
LHC22d,7733,518538,bad,too many missing chips (error/fault),,,/
LHC22d,7733,518541,bad,too many missing chips (error/fault),,,/
LHC22d,7733,518542,bad,too many missing chips (error/fault),,,/
LHC22d,7733,518543,bad,too many missing chips (error/fault),,,/
LHC22d,7733,518546,bad,too many missing chips (error/fault),,,/
LHC22d,7733,518547,bad,too many missing chips (error/fault),,,/
LHC22e,7822,519037,bad,too many missing chips (error/fault),,,/
LHC22e,7822,519038,bad,too many missing chips (error/fault),,,/
LHC22e,7822,519041,bad,too many missing chips (error/fault),,,/
LHC22e,7822,519043,bad,too many missing chips (error/fault),,,/
LHC22e,7822,519045,bad,too many missing chips (error/fault),,,/
LHC22e,7876,519493,bad,too many missing chips (error/fault),,,/
LHC22e,7876,519496,bad,too many missing chips (error/fault),,,/
LHC22e,7876,519497,bad,too many missing chips (error/fault),,,/
LHC22e,7876,519498,bad,too many missing chips (error/fault),,,/
LHC22e,7876,519499,bad,too many missing chips (error/fault),,,/
LHC22e,7876,519502,bad,too many missing chips (error/fault),,,/
LHC22e,7876,519503,bad,too many missing chips (error/fault),,,/
LHC22e,7876,519504,bad,too many missing chips (error/fault),,,/
LHC22e,7876,519506,bad,too many missing chips (error/fault),,,/
LHC22e,7876,519507,bad,too many missing chips (error/fault),,,/
LHC22e,7895,519903,bad,too many missing chips (error/fault),,,/
LHC22e,7895,519904,bad,too many missing chips (error/fault),,,/
LHC22e,7895,519905,bad,too many missing chips (error/fault),,,/
LHC22e,7895,519906,bad,too many missing chips (error/fault),,,/
LHC22e,7895,519908,bad,too many missing chips (error/fault),,,/
LHC22e,7916,520099,bad,too many missing chips (error/fault),,,/
LHC22e,7916,520100,bad,too many missing chips (error/fault),,,/
LHC22f,7920,520143,,,,,/
LHC22f,7920,520144,,,,,/
LHC22f,7920,520145,,,,,/
LHC22f,7920,520147,,,,,/
LHC22f,7920,520150,,,,,/
LHC22f,7920,520151,,,,,/
LHC22f,7920,520152,,,,,/
