runNumber,timeTrgStart,runDuration,fillNumber,lhcPeriod
557026,"11/09/2024, 01:35:23","00:33:56",10100,"LHC24an"
557021,"10/09/2024, 21:31:18","03:52:07",10100,"LHC24an"
557019,"10/09/2024, 20:08:18","01:11:52",10100,"LHC24an"
557012,"10/09/2024, 14:11:13","05:43:59",10100,"LHC24an"
556997,"10/09/2024, 04:12:17","05:26:27",10099,"LHC24an"
556981,"09/09/2024, 23:04:02","03:00:02",10098,"LHC24an"
556979,"09/09/2024, 21:26:23","00:34:16",10098,"LHC24an"
556958,"09/09/2024, 09:22:21","09:04:35",10097,"LHC24an"
556954,"09/09/2024, 05:56:19","03:11:53",10097,"LHC24an"
556939,"08/09/2024, 22:58:46","04:18:28",10096,"LHC24an"
556923,"08/09/2024, 18:24:39","01:46:15",10095,"LHC24an"
556913,"08/09/2024, 09:52:33","08:23:35",10095,"LHC24an"
556909,"08/09/2024, 07:45:24","01:45:11",10095,"LHC24an"
556907,"08/09/2024, 06:09:27","01:26:10",10095,"LHC24an"
556889,"07/09/2024, 23:29:42","03:19:29",10094,"LHC24an"
556872,"07/09/2024, 18:45:55","02:37:39",10093,"LHC24an"
556834,"07/09/2024, 00:15:15","14:17:25",10092,"LHC24an"
556816,"06/09/2024, 16:27:45","05:37:34",10091,"LHC24an"
556767,"06/09/2024, 01:32:26","11:25:06",10090,"LHC24an"
556741,"05/09/2024, 12:54:02","05:19:57",10087,"LHC24an"
556734,"05/09/2024, 06:20:28","05:47:23",10087,"LHC24an"
556716,"04/09/2024, 22:17:49","03:24:40",10086,"LHC24an"
556680,"04/09/2024, 12:22:55","06:15:14",10084,"LHC24an"
556664,"03/09/2024, 21:43:00","13:29:40",10084,"LHC24an"
556662,"03/09/2024, 20:33:11","00:47:54",10084,"LHC24an"
556641,"03/09/2024, 13:15:47","01:54:48",10082,"LHC24an"
556640,"03/09/2024, 12:37:56","00:31:00",10082,"LHC24an"
556639,"03/09/2024, 12:06:49","00:21:04",10082,"LHC24an"
556638,"03/09/2024, 11:46:53","00:00:56",10082,"LHC24an"
556562,"01/09/2024, 20:21:13","09:04:33",10077,"LHC24an"
556542,"01/09/2024, 11:28:59","03:16:02",10075,"LHC24an"
556517,"31/08/2024, 19:46:15","13:20:06",10074,"LHC24an"
556497,"31/08/2024, 14:51:45","00:42:14",10073,"LHC24an"
556491,"31/08/2024, 09:11:16","05:30:25",10073,"LHC24an"
556485,"31/08/2024, 04:28:53","04:35:57",10073,"LHC24an"
556482,"31/08/2024, 02:27:19","01:55:18",10073,"LHC24an"
556469,"30/08/2024, 22:19:21","00:01:21",10072,"LHC24an"
556461,"30/08/2024, 15:21:12","06:44:24",10072,"LHC24an"
556460,"30/08/2024, 15:10:55","00:04:02",10072,"LHC24an"
556454,"30/08/2024, 09:52:01","05:16:56",10072,"LHC24an"
556437,"30/08/2024, 04:50:25","01:55:09",10070,"LHC24an"
556412,"29/08/2024, 13:24:11","13:07:13",10069,"LHC24an"
556391,"29/08/2024, 08:15:51","00:00:00",10068,"LHC24an"
556372,"28/08/2024, 23:35:28","05:06:08",10066,"LHC24an"
556370,"28/08/2024, 22:35:24","00:35:53",10066,"LHC24an"
556284,"26/08/2024, 21:39:14","04:54:02",10061,"LHC24an"
556283,"26/08/2024, 21:30:31","00:04:02",10061,"LHC24an"
556269,"26/08/2024, 17:08:38","01:07:58",10059,"LHC24an"
556248,"26/08/2024, 03:40:06","02:27:25",10056,"LHC24an"
556237,"25/08/2024, 16:42:23","10:49:12",10056,"LHC24an"
556236,"25/08/2024, 16:34:32","00:00:00",10056,"LHC24an"
556218,"25/08/2024, 07:04:21","05:57:50",10052,"LHC24an"
556210,"25/08/2024, 00:12:19","06:41:07",10052,"LHC24an"
556209,"25/08/2024, 00:05:25","00:00:00",10052,"LHC24an"
556182,"24/08/2024, 12:02:21","07:24:00",10050,"LHC24an"
556164,"24/08/2024, 08:12:42","01:57:03",10049,"LHC24an"
556160,"24/08/2024, 04:33:18","03:16:35",10049,"LHC24an"
556152,"23/08/2024, 21:05:47","07:16:32",10049,"LHC24an"
555976,"19/08/2024, 05:57:28","00:18:31",10017,"LHC24am"
555975,"19/08/2024, 05:51:11","00:00:07",10017,"LHC24am"
555974,"19/08/2024, 05:41:17","00:00:07",10017,"LHC24am"
555973,"19/08/2024, 05:35:09","00:00:08",10017,"LHC24am"
555967,"18/08/2024, 23:35:34","05:44:12",10017,"LHC24am"
555965,"18/08/2024, 22:51:49","00:29:25",10017,"LHC24am"
