runNumber,timeTrgStart,runDuration,fillNumber,lhcPeriod
565030,"30/07/2025, 14:03:44","03:41:14",10895,"LHC25ah"
565007,"29/07/2025, 12:00:34","13:01:16",10887,"LHC25ah"
564987,"28/07/2025, 18:42:28","13:34:16",10886,"LHC25ah"
564965,"27/07/2025, 23:28:01","12:55:16",10884,"LHC25ah"
564953,"27/07/2025, 18:28:29","02:01:47",10883,"LHC25ah"
564918,"26/07/2025, 05:07:16","05:37:49",10878,"LHC25ah"
564915,"26/07/2025, 04:27:04","00:33:53",10878,"LHC25ah"
564913,"26/07/2025, 03:27:20","00:49:20",10878,"LHC25ah"
564900,"25/07/2025, 20:35:33","03:18:40",10876,"LHC25ah"
564889,"25/07/2025, 05:08:17","13:26:23",10875,"LHC25ah"
564877,"24/07/2025, 13:08:39","13:38:04",10874,"LHC25ah"
564849,"24/07/2025, 04:49:11","02:02:22",10871,"LHC25ah"
564848,"23/07/2025, 17:26:08","11:14:55",10871,"LHC25ah"
564797,"22/07/2025, 21:38:40","09:52:34",10868,"LHC25ah"
564789,"22/07/2025, 09:38:03","07:51:14",10866,"LHC25ah"
564788,"22/07/2025, 04:37:16","04:46:08",10866,"LHC25ah"
564775,"21/07/2025, 21:40:56","04:28:41",10865,"LHC25ah"
564763,"21/07/2025, 14:09:35","03:51:13",10862,"LHC25ah"
564762,"21/07/2025, 04:14:17","09:47:19",10862,"LHC25ah"
564747,"20/07/2025, 17:06:34","06:10:29",10859,"LHC25ah"
564746,"20/07/2025, 14:14:54","02:46:04",10859,"LHC25ah"
564735,"19/07/2025, 23:57:32","09:58:08",10857,"LHC25ah"
564734,"19/07/2025, 18:01:34","05:50:28",10857,"LHC25ah"
564717,"19/07/2025, 12:00:03","00:27:16",10855,"LHC25ah"
564716,"19/07/2025, 04:52:59","07:01:03",10855,"LHC25ah"
564704,"19/07/2025, 00:22:59","02:19:04",10854,"LHC25ah"
564693,"18/07/2025, 21:01:20","00:20:09",10852,"LHC25ah"
564676,"18/07/2025, 12:32:10","02:52:21",10852,"LHC25ah"
564675,"18/07/2025, 10:15:23","02:08:07",10852,"LHC25ah"
564663,"18/07/2025, 04:45:21","02:26:41",10850,"LHC25ah"
564662,"18/07/2025, 02:19:42","02:19:13",10850,"LHC25ah"
564661,"17/07/2025, 23:45:54","02:17:48",10850,"LHC25ah"
564644,"17/07/2025, 16:17:29","00:46:03",10848,"LHC25ah"
564631,"17/07/2025, 01:59:30","07:48:57",10845,"LHC25ah"
564618,"16/07/2025, 13:16:46","05:23:46",10843,"LHC25ah"
